date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:17	294497/294497	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Apr%202024%2010:19:16%20GMT	https://bodhi-space-j5vd.b12sites.com/index	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/index.html	(from )
15:49:18	110/110	---M--	200	added ('OK')	text/plain	date:Fri,%2019%20Apr%202024%2010:19:17%20GMT	https://bodhi-space-j5vd.b12sites.com/robots.txt		(from )
15:49:19	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	/home/sage/websites/bodhispace/code.jquery.com/jquery-3.3.1.min.js	(from https://bodhi-space-j5vd.b12sites.com/index)
15:49:21	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:19:20%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.3.delayed	(from https://bodhi-space-j5vd.b12sites.com/index)
15:49:21	294497/294497	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Apr%202024%2010:19:19%20GMT	https://bodhi-space-j5vd.b12sites.com/	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/index-2.html	(from https://bodhi-space-j5vd.b12sites.com/index)
15:49:23	5532/5532	---M--	200	added ('OK')	font/woff2	date:Fri,%2019%20Apr%202024%2010:19:23%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:49:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:19:23%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:49:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:19:26%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:49:26	7900/7900	---M--	200	added ('OK')	font/woff2	date:Fri,%2019%20Apr%202024%2010:19:25%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:49:28	5472/5472	---M--	200	added ('OK')	font/woff2	date:Fri,%2019%20Apr%202024%2010:19:27%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:49:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2019%20Apr%202024%2010:19:28%20GMT	http://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
15:50:01	7740/7740	---M--	200	added ('OK')	font/woff2	date:Fri,%2019%20Apr%202024%2010:20:01%20GMT	https://bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	/home/sage/websites/bodhispace/bodhi-space-j5vd.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	(from https://bodhi-space-j5vd.b12sites.com/index)
